2024-06-12 12:52:41,517 INFO    MainThread:22288 [wandb_run.py:_config_callback():1382] config_cb ('_wandb', 'visualize', 'curves/Recall-Confidence(B)') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/area-under-curve/v0', 'fieldSettings': {'x': 'x', 'y': 'y', 'class': 'class'}, 'stringSettings': {'title': 'Recall-Confidence(B)', 'x-axis-title': 'Confidence', 'y-axis-title': 'Recall'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'curves/Recall-Confidence(B)_table'}], 'fields': []}]}]}}} None
2024-06-12 12:52:41,837 INFO    MainThread:22288 [wandb_run.py:_config_callback():1382] config_cb ('_wandb', 'visualize', 'curves/Precision-Recall(M)') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/area-under-curve/v0', 'fieldSettings': {'x': 'x', 'y': 'y', 'class': 'class'}, 'stringSettings': {'title': 'Precision-Recall(M)', 'x-axis-title': 'Recall', 'y-axis-title': 'Precision'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'curves/Precision-Recall(M)_table'}], 'fields': []}]}]}}} None
2024-06-12 12:52:42,149 INFO    MainThread:22288 [wandb_run.py:_config_callback():1382] config_cb ('_wandb', 'visualize', 'curves/F1-Confidence(M)') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/area-under-curve/v0', 'fieldSettings': {'x': 'x', 'y': 'y', 'class': 'class'}, 'stringSettings': {'title': 'F1-Confidence(M)', 'x-axis-title': 'Confidence', 'y-axis-title': 'F1'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'curves/F1-Confidence(M)_table'}], 'fields': []}]}]}}} None
2024-06-12 12:52:42,450 INFO    MainThread:22288 [wandb_run.py:_config_callback():1382] config_cb ('_wandb', 'visualize', 'curves/Precision-Confidence(M)') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/area-under-curve/v0', 'fieldSettings': {'x': 'x', 'y': 'y', 'class': 'class'}, 'stringSettings': {'title': 'Precision-Confidence(M)', 'x-axis-title': 'Confidence', 'y-axis-title': 'Precision'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'curves/Precision-Confidence(M)_table'}], 'fields': []}]}]}}} None
2024-06-12 12:52:42,786 INFO    MainThread:22288 [wandb_run.py:_config_callback():1382] config_cb ('_wandb', 'visualize', 'curves/Recall-Confidence(M)') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/area-under-curve/v0', 'fieldSettings': {'x': 'x', 'y': 'y', 'class': 'class'}, 'stringSettings': {'title': 'Recall-Confidence(M)', 'x-axis-title': 'Confidence', 'y-axis-title': 'Recall'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'curves/Recall-Confidence(M)_table'}], 'fields': []}]}]}}} None
2024-06-12 12:52:43,119 INFO    MainThread:22288 [wandb_run.py:_finish():2109] finishing run lovesjns1030/footwear-detection/ynt46t6i
2024-06-12 12:52:43,119 INFO    MainThread:22288 [jupyter.py:save_history():444] not saving jupyter history
2024-06-12 12:52:43,119 INFO    MainThread:22288 [jupyter.py:save_ipynb():372] not saving jupyter notebook
2024-06-12 12:52:43,119 INFO    MainThread:22288 [wandb_init.py:_jupyter_teardown():448] cleaning up jupyter logic
2024-06-12 12:52:43,119 INFO    MainThread:22288 [wandb_run.py:_atexit_cleanup():2349] got exitcode: 0
2024-06-12 12:52:43,119 INFO    MainThread:22288 [wandb_run.py:_restore():2332] restore
2024-06-12 12:52:43,125 INFO    MainThread:22288 [wandb_run.py:_restore():2338] restore done
2024-06-12 12:53:11,559 INFO    MainThread:22288 [wandb_run.py:_footer_history_summary_info():4008] rendering history
2024-06-12 12:53:11,566 INFO    MainThread:22288 [wandb_run.py:_footer_history_summary_info():4040] rendering summary
2024-06-12 12:53:11,570 INFO    MainThread:22288 [wandb_run.py:_footer_sync_info():3967] logging synced files
