                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4197,                 1.1067,                  1.386,                0.86207,                0.65639,                0.76898,                0.43488,                 1.5912,                 1.2504,                 1.6724,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.4317,                 1.1246,                 1.3704,                0.81262,                0.69604,                0.77847,                0.42353,                 1.6577,                 1.2091,                 1.7001,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.3978,                 1.0846,                 1.3614,                0.86121,                0.71366,                0.79757,                0.42657,                 1.6045,                 1.1938,                 1.6753,               0.001307,               0.001307,               0.001307
                     37,                 1.4389,                 1.1138,                 1.4045,                0.80522,                0.74666,                0.79899,                0.42687,                 1.6537,                  1.164,                 1.7554,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.3745,                 1.0842,                 1.3522,                0.86024,                0.72247,                 0.8199,                0.44674,                  1.619,                 1.1628,                  1.673,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.3692,                 1.0617,                 1.3519,                0.90516,                0.70925,                0.81834,                0.45749,                 1.5244,                 1.1646,                 1.5931,              0.0012476,              0.0012476,              0.0012476
                     40,                  1.346,                  1.069,                 1.3239,                0.83519,                0.73668,                0.80608,                0.45807,                 1.5556,                 1.1836,                 1.6105,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.3103,                 1.0566,                 1.3182,                0.85537,                0.77093,                0.83481,                0.46496,                 1.5502,                 1.0796,                 1.6169,               0.001208,               0.001208,               0.001208
                     42,                 1.3448,                 1.0341,                 1.3282,                0.88583,                0.71776,                0.79583,                0.43815,                 1.6097,                 1.1612,                 1.6629,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.3359,                 1.0527,                  1.338,                0.84035,                0.69604,                0.77588,                0.42532,                 1.6398,                 1.2351,                 1.7023,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.3159,                 1.0463,                 1.3303,                0.88369,                0.73637,                0.80417,                0.46888,                  1.543,                 1.1228,                 1.6206,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.3019,                 1.0091,                  1.324,                0.83685,                0.73568,                0.81558,                0.44882,                 1.5627,                 1.0694,                 1.6195,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.3091,                 0.9963,                 1.2952,                 0.8906,                0.71727,                0.81831,                0.45071,                  1.597,                 1.1266,                 1.6366,               0.001109,               0.001109,               0.001109
                     47,                 1.3174,                 1.0074,                 1.3093,                0.84573,                0.74009,                0.81876,                0.45414,                 1.5314,                  1.035,                 1.6148,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.2637,                0.95953,                  1.278,                 0.8563,                 0.7533,                0.83902,                0.48243,                 1.5008,                 1.0273,                 1.5691,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.2414,                0.96452,                 1.2721,                0.83672,                0.71806,                0.79093,                0.47439,                 1.5436,                 1.1382,                 1.6136,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.2507,                0.89254,                  1.246,                0.85306,                0.71612,                0.80528,                0.46315,                 1.5271,                 1.1156,                 1.6385,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.3199,                0.98787,                 1.2956,                0.84926,                0.71978,                 0.8005,                0.45288,                 1.5719,                 1.1474,                 1.6395,                0.00101,                0.00101,                0.00101
                     52,                 1.2505,                0.92576,                 1.2588,                0.85504,                0.69163,                 0.8008,                0.45359,                 1.5615,                 1.1218,                 1.6402,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.2676,                0.93601,                 1.3015,                0.90333,                0.72247,                0.81443,                0.47494,                 1.5023,                 1.0498,                 1.6029,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.2315,                0.94512,                 1.2689,                0.87952,                0.74009,                0.82745,                0.47714,                 1.5205,                 1.0441,                 1.6243,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.2276,                0.91488,                 1.2791,                0.80188,                0.74449,                0.81447,                0.47094,                 1.4991,                 1.0768,                 1.6083,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.2311,                0.89448,                 1.2561,                0.84611,                0.72663,                0.80566,                 0.4484,                 1.5796,                 1.0148,                  1.652,               0.000911,               0.000911,               0.000911
                     57,                 1.2282,                0.93646,                 1.2629,                0.81708,                 0.7489,                0.81795,                0.46105,                 1.5312,                 1.0713,                 1.6304,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.1774,                0.88446,                 1.2163,                0.89249,                0.76802,                0.84999,                0.49227,                  1.495,                 1.0041,                 1.5605,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.2327,                0.90582,                 1.2289,                0.89976,                0.73568,                0.83213,                0.48365,                 1.4923,                 1.0461,                 1.6201,              0.0008516,              0.0008516,              0.0008516
