                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.84136,                0.90636,                 1.1879,                 0.6174,                0.62931,                0.65844,                0.44816,                 1.1629,                 1.3303,                 1.4897,              0.0013268,              0.0013268,              0.0013268
                     36,                0.82473,                0.92649,                 1.2195,                0.74517,                 0.5431,                0.65508,                0.43978,                 1.2188,                 1.3719,                 1.6004,               0.001307,               0.001307,               0.001307
                     37,                0.80098,                0.84974,                 1.1797,                0.64954,                0.71901,                0.69697,                0.48878,                 1.1512,                 1.1599,                 1.4737,              0.0012872,              0.0012872,              0.0012872
                     38,                0.79675,                0.81217,                 1.1911,                0.60119,                0.61207,                0.63468,                0.44366,                 1.3241,                 1.6356,                 1.6219,              0.0012674,              0.0012674,              0.0012674
                     39,                0.87442,                0.88814,                 1.2031,                0.67343,                0.65777,                0.70811,                0.50483,                 1.0842,                 1.2267,                 1.4072,              0.0012476,              0.0012476,              0.0012476
                     40,                0.80793,                0.84729,                 1.1867,                0.68725,                0.74138,                0.76038,                 0.5528,                 1.0635,                 1.1047,                 1.4164,              0.0012278,              0.0012278,              0.0012278
                     41,                0.83775,                0.85503,                 1.2156,                0.58505,                0.76574,                0.71639,                0.50054,                 1.1558,                 1.2748,                 1.4606,               0.001208,               0.001208,               0.001208
                     42,                0.83462,                0.84641,                 1.2047,                0.64039,                0.70619,                 0.7567,                0.51498,                 1.0877,                 1.1589,                 1.4417,              0.0011882,              0.0011882,              0.0011882
                     43,                0.79909,                0.81049,                 1.1852,                0.67579,                0.68103,                0.72077,                0.50739,                 1.0903,                 1.1649,                 1.4284,              0.0011684,              0.0011684,              0.0011684
                     44,                0.74843,                 0.7774,                 1.1328,                0.65569,                   0.75,                 0.7877,                0.56791,                 1.0299,                  1.019,                  1.402,              0.0011486,              0.0011486,              0.0011486
                     45,                 0.7805,                0.75956,                 1.1757,                0.67203,                 0.7069,                0.72365,                0.51901,                 1.0796,                 1.1016,                 1.4227,              0.0011288,              0.0011288,              0.0011288
                     46,                0.80361,                0.79641,                 1.2013,                0.60821,                0.69828,                0.68748,                0.49527,                 1.0708,                 1.2381,                 1.4376,               0.001109,               0.001109,               0.001109
                     47,                0.75753,                0.78892,                 1.1728,                0.66837,                0.65517,                0.72312,                0.47895,                 1.1375,                 1.2364,                 1.4559,              0.0010892,              0.0010892,              0.0010892
