2024-06-12 00:45:51,392 INFO    SenderThread:21144 [dir_watcher.py:__init__():211] watching files in: c:\Users\dhshs\Documents\CCTV(2)\2. shoes_detection\code\wandb\run-20240612_004550-0fto8vvd\files
2024-06-12 00:45:51,394 INFO    SenderThread:21144 [sender.py:_start_run_threads():1188] run started: 0fto8vvd with start time 1718120750.893791
2024-06-12 00:45:55,452 DEBUG   HandlerThread:21144 [handler.py:handle_request():158] handle_request: status_report
2024-06-12 00:45:55,945 DEBUG   HandlerThread:21144 [handler.py:handle_request():158] handle_request: keepalive
2024-06-12 00:45:56,422 DEBUG   HandlerThread:21144 [handler.py:handle_request():158] handle_request: status_report
2024-06-12 00:46:00,492 DEBUG   HandlerThread:21144 [handler.py:handle_request():158] handle_request: status_report
2024-06-12 00:46:00,988 DEBUG   HandlerThread:21144 [handler.py:handle_request():158] handle_request: keepalive
2024-06-12 00:46:01,467 DEBUG   HandlerThread:21144 [handler.py:handle_request():158] handle_request: status_report
2024-06-12 00:46:05,525 DEBUG   HandlerThread:21144 [handler.py:handle_request():158] handle_request: status_report
2024-06-12 00:46:06,032 DEBUG   HandlerThread:21144 [handler.py:handle_request():158] handle_request: keepalive
2024-06-12 00:46:06,554 DEBUG   HandlerThread:21144 [handler.py:handle_request():158] handle_request: status_report
2024-06-12 00:46:10,584 DEBUG   HandlerThread:21144 [handler.py:handle_request():158] handle_request: status_report
2024-06-12 00:46:11,122 DEBUG   HandlerThread:21144 [handler.py:handle_request():158] handle_request: keepalive
2024-06-12 00:46:11,907 DEBUG   HandlerThread:21144 [handler.py:handle_request():158] handle_request: status_report
2024-06-12 00:46:15,617 DEBUG   HandlerThread:21144 [handler.py:handle_request():158] handle_request: status_report
2024-06-12 00:46:16,203 DEBUG   HandlerThread:21144 [handler.py:handle_request():158] handle_request: keepalive
2024-06-12 00:46:16,930 DEBUG   HandlerThread:21144 [handler.py:handle_request():158] handle_request: status_report
2024-06-12 00:46:20,706 DEBUG   HandlerThread:21144 [handler.py:handle_request():158] handle_request: status_report
2024-06-12 00:46:21,280 DEBUG   HandlerThread:21144 [handler.py:handle_request():158] handle_request: keepalive
2024-06-12 00:46:22,048 DEBUG   HandlerThread:21144 [handler.py:handle_request():158] handle_request: status_report
2024-06-12 00:46:25,746 DEBUG   HandlerThread:21144 [handler.py:handle_request():158] handle_request: status_report
2024-06-12 00:46:26,427 DEBUG   HandlerThread:21144 [handler.py:handle_request():158] handle_request: keepalive
2024-06-12 00:46:27,084 DEBUG   HandlerThread:21144 [handler.py:handle_request():158] handle_request: status_report
2024-06-12 00:46:30,840 DEBUG   HandlerThread:21144 [handler.py:handle_request():158] handle_request: status_report
2024-06-12 00:46:31,406 DEBUG   HandlerThread:21144 [handler.py:handle_request():158] handle_request: keepalive
2024-06-12 00:46:32,139 DEBUG   HandlerThread:21144 [handler.py:handle_request():158] handle_request: status_report
2024-06-12 00:46:35,883 DEBUG   HandlerThread:21144 [handler.py:handle_request():158] handle_request: status_report
2024-06-12 00:46:36,487 DEBUG   HandlerThread:21144 [handler.py:handle_request():158] handle_request: keepalive
2024-06-12 00:46:37,606 DEBUG   HandlerThread:21144 [handler.py:handle_request():158] handle_request: status_report
2024-06-12 00:46:39,933 DEBUG   SystemMonitor:21144 [system_monitor.py:_start():172] Starting system metrics aggregation loop
2024-06-12 00:46:39,950 DEBUG   SenderThread:21144 [sender.py:send():379] send: stats
2024-06-12 00:46:40,970 DEBUG   HandlerThread:21144 [handler.py:handle_request():158] handle_request: status_report
2024-06-12 00:46:41,558 DEBUG   HandlerThread:21144 [handler.py:handle_request():158] handle_request: keepalive
2024-06-12 00:46:42,622 DEBUG   HandlerThread:21144 [handler.py:handle_request():158] handle_request: status_report
